Venue Name,Query,Contact Email,URL
VEGA,spillesteder københavn,vega@vega.dk,https://vega.dk/
ALICE,spillesteder københavn,info@alicecph.com,https://alicecph.com/
Pumpehuset,spillesteder københavn,[email protected],https://pumpehuset.dk/
VEGA,spillesteder københavn,info@vega.dk,https://www.vega.dk/
Loppen,spillesteder københavn,info@loppen.dk,https://loppen.dk/
Hotel Cecil,spillesteder københavn,info@hotelcecil.dk,https://hotelcecil.dk/
VEGA - Musikkens Hus,live musik københavn,info@vega.dk,https://www.vega.dk/
CPH Concerts,live musik københavn,info@cphconcerts.com,https://www.cphconcerts.com/
Mojo,live musik københavn,billet@mojo.dk,https://www.mojo.dk/
Billetto,koncerter københavn,support@billetto.com,https://billetto.dk/
Live Nation,koncerter københavn,info@livenation.dk,https://www.livenation.dk/
Copenhagen Phil,koncerter københavn,copenhagenphil@copenhagenphil.dk,https://copenhagenphil.dk/
DR Koncerthuset,koncerter københavn,drkoncerthuset@dr.dk,https://drkoncerthuset.dk/
Royal Arena,koncerter københavn,info@royalarena.dk,https://www.royalarena.dk/
Limunt,booking af band københavn,kontakt@limunt.dk,https://limunt.dk/
Liveband til fest,booking af band københavn,info@livebandtilfest.dk,https://www.livebandtilfest.dk/
Killtown Deathfest,booking af band københavn,killtowntourbookings@gmail.com,https://killtowndeathfest.com/
Musikbookeriet,booking af band københavn,info@musikbookeriet.dk,https://musikbookeriet.dk/
ProArtist,booking af band københavn,kontakt@proartist.dk,https://www.proartist.dk/
Evenses,booking af band københavn,info@evenses.com,https://www.evenses.dk/
Bands I København,booking af band københavn,[email protected],https://bandsikobenhavn.dk/
Kelly & Co. Collective,Add one venue per line. Example:,info@kellyandcocollective.com,https://kellyandcocollective.com/
Perfect Venue,Add one venue per line. Example:,hello@perfectvenue.com,https://perfectvenue.com/
Always Yours Events,Add one venue per line. Example:,keri@alwaysyoursevents.com,https://www.alwaysyoursevents.com/
LineUpr Blog,Add one venue per line. Example:,info@lineupr.com,https://blog.lineupr.com/
XTIX Blog,Add one venue per line. Example:,info@xtix.com,https://xtix.com/
Pumpehuset,Pumpehuset København,info@pumpehuset.dk,https://www.pumpehuset.dk/
Byhaven Pumpehuset,Pumpehuset København,info@pumpehuset.dk,https://www.pumpehuset.dk/byhaven/
Resident Advisor,Hotel Cecil København,info@residentadvisor.net,https://www.residentadvisor.net/
Mindtrip,Hotel Cecil København,info@mindtrip.com,www.mindtrip.com
